sample_size,delta_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm,n1_prop
900,0.02,0.796,0.010356792838264982,20,0.002315849281524348,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
1000,0.02,0.8121,0.012481143672293022,20,0.0027908685688188555,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
1100,0.02,0.8316,0.013260150034873982,20,0.002965059686982443,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
1200,0.02,0.84455,0.0125382572448025,20,0.002803639551875761,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
900,0.03,0.91805,0.010399772264713045,20,0.00232545977344153,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
1000,0.03,0.9267000000000001,0.010167543821809703,20,0.0022735319149774502,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
1100,0.03,0.9362,0.006195074444138709,20,0.0013852607582765877,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
1200,0.03,0.94365,0.007264006434033755,20,0.0016242812175495318,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
900,0.05,0.983,0.003111946420861999,20,6.958523739384599e-4,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
1000,0.05,0.9868,0.003105173950547362,20,6.943380035385471e-4,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
1100,0.05,0.9868,0.0030881777968995204,20,6.905375480472867e-4,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
1200,0.05,0.99165,0.0035581633346137296,20,7.95629509124363e-4,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
900,0.01,0.54725,0.020698016686070228,20,0.004628217230947795,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
1000,0.01,0.5708,0.013085146259464518,20,0.0029259276531689764,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
1100,0.01,0.5859,0.016392873933190416,20,0.0036655580461198113,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
1200,0.01,0.60765,0.014079754034932956,20,0.0031483287128587036,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
900,0.02,0.8433499999999999,0.009033708802969147,20,0.0020199986972377266,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
1000,0.02,0.8582,0.011067258491890213,20,0.002474714231242832,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
1100,0.02,0.8732,0.010329314442019153,20,0.0023097049253325134,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
1200,0.02,0.889,0.009547664360294734,20,0.002134922653597107,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
900,0.03,0.94285,0.007464124723953667,20,0.001669029027529725,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
1000,0.03,0.9511,0.006560648234980898,20,0.0014670055429881301,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
1100,0.03,0.95895,0.005325954325159413,20,0.0011909195916115466,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
1200,0.03,0.9643999999999999,0.0040052596998394405,20,8.956032956381392e-4,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
900,0.05,0.99,0.003494356352146915,20,7.813618341008695e-4,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
1000,0.05,0.99195,0.0037059695797882386,20,8.286799902952832e-4,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
1100,0.05,0.993,0.002883711059326892,20,6.44817395612286e-4,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
1200,0.05,0.99375,0.0017434086394791475,20,3.8983802304357973e-4,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.5
