sample_size,rho_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm
900,0.05,0,0,20,0,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1200,0.1,0.60075,0.038341780152506715,20,0.008573482679935726,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
900,0.15,0.93115,0.019730486696053817,20,0.004411870948153157,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1000,0.15,0.96155,0.010595306806118908,20,0.0023691826260948063,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1100,0.15,0.9783499999999999,0.005788145780726971,20,0.0012942687429384097,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1200,0.15,0.98625,0.005847851607304403,20,0.001307619371626405,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
900,0.18,0.9913,0.003812721089361663,20,8.525503535059727e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1000,0.18,0.9963,0.0035258444303979783,20,7.884027824458905e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1100,0.18,0.99895,0.001190974832912762,20,2.66310068588439e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1200,0.18,0.99955,8.255779474818973e-4,20,1.8460484112942736e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
900,0.2,0.9986,0.0017888543819998333,20,4.0000000000000034e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1000,0.2,0.99925,7.163503994113796e-4,20,1.60180818879297e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1100,0.2,0.99985,3.663475485325236e-4,20,8.191780219091261e-5,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1200,0.2,1,0,20,0,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
