sample_size,rho_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm
1200,0.05,2e-4,5.23148363780597e-4,20,1.1697953037312036e-4,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
900,0.07,1e-4,3.077935056255462e-4,20,6.882472016116852e-5,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1000,0.07,3.5e-4,5.871429486123998e-4,20,1.3128915456069918e-4,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1100,0.07,1e-4,3.077935056255462e-4,20,6.882472016116852e-5,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1200,0.07,2.5e-4,7.16350399411379e-4,20,1.6018081887929686e-4,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
900,0.1,0.00435,0.004602916695451174,20,0.0010292434625797523,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1000,0.1,0.009899999999999999,0.007587385653348034,20,0.0016965910092392859,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1100,0.1,0.0187,0.009364546803882464,20,0.002093976323195958,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1200,0.1,0.0357,0.01792410902138587,20,0.0040079526207936035,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
900,0.15,0.38115,0.05722832846543195,20,0.012796643268739206,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1000,0.15,0.47075,0.04715581674228091,20,0.010544361177026278,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1100,0.15,0.59865,0.05297991178391655,20,0.011846668419077954,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1200,0.15,0.69985,0.04326816624871356,20,0.00967505609938856,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
900,0.18,0.78505,0.03474641215859181,20,0.007769533956083649,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1000,0.18,0.86385,0.04055441438753358,20,0.009068242735822058,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1100,0.18,0.9186000000000001,0.020500064184751896,20,0.0045839537060214045,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1200,0.18,0.94855,0.013100723162040352,20,0.002929410754472822,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
900,0.2,0.9159,0.024255004909459293,20,0.005423583977214211,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1000,0.2,0.95614999999999994,0.011988042287827353,20,0.002680607747272406,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1100,0.2,0.9823,0.0065622525015985875,20,0.001467364267909249,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1200,0.2,0.98895,0.005316063046634185,20,0.001188707834494867,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
